timestamp,x,y,z
1751946140.8688986,0.00312,0.20323,0.0
1751946140.9889846,-0.00102,0.16728,0.0
1751946141.088637,-0.0076,0.11851,0.0
1751946141.1887777,-0.01026,0.08781,0.0
1751946141.2883985,-0.01353,0.063,0.0
1751946141.3892705,-0.0167,0.03204,0.0
1751946141.4875965,-0.01722,0.02326,0.0
1751946141.6087782,-0.01864,0.01457,0.0
1751946141.7085974,-0.02028,0.02101,0.0
1751946141.7900836,-0.01987,0.03326,0.0
1751946141.9078562,-0.01838,0.03598,0.0
1751946142.007383,-0.01751,0.02869,0.0
1751946142.110816,-0.01786,0.02276,0.0
1751946142.208673,-0.01905,0.02393,0.0
1751946142.3084414,-0.02103,0.02804,0.0
1751946142.4291587,-0.0186,0.03,0.0
1751946142.5300279,-0.01455,0.02718,0.0
1751946142.629311,-0.01612,0.02311,0.0
1751946142.7292151,-0.0187,0.02242,0.0
1751946142.8300853,-0.01892,0.02465,0.0
1751946142.929791,-0.01727,0.02648,0.0
1751946143.030703,-0.01515,0.02566,0.0
1751946143.1305456,-0.01539,0.02404,0.0
