timestamp,speed,angle,esc_timestamp,state
1751946137.988558,"[100, -88, -98, 84]","[18083, 32569, 17684, 26666]","[165846, 165847, 165849, 165844]","[0, 0, 0, 0]"
1751946138.088912,"[62, -70, -54, 76]","[22730, 27735, 12947, 31748]","[165906, 165907, 165909, 165904]","[0, 0, 0, 0]"
1751946138.1890934,"[52, -48, -45, 40]","[24977, 24817, 10671, 1339]","[165966, 165967, 165969, 165964]","[0, 0, 0, 0]"
1751946138.2891414,"[39, -64, -74, 60]","[28008, 21681, 7421, 4388]","[166026, 166027, 166029, 166024]","[0, 0, 0, 0]"
1751946138.3886092,"[30, -24, -30, 28]","[31794, 17379, 3869, 8437]","[166146, 166147, 166149, 166144]","[0, 0, 0, 0]"
1751946138.4881313,"[37, -29, -26, 39]","[1281, 15973, 2218, 10574]","[166206, 166207, 166209, 166204]","[0, 0, 0, 0]"
1751946138.590282,"[-25, -22, -28, -37]","[31525, 13902, 344, 7850]","[166266, 166267, 166269, 166264]","[0, 0, 0, 0]"
1751946138.6906197,"[-71, -24, -10, -69]","[28693, 12835, 32194, 4997]","[166326, 166327, 166329, 166324]","[0, 0, 0, 0]"
1751946138.7956898,"[-47, -29, -23, -35]","[25428, 11526, 31221, 2088]","[166386, 166387, 166389, 166384]","[0, 0, 0, 0]"
1751946138.889123,"[-25, -49, -59, -36]","[23349, 9024, 28735, 276]","[166446, 166447, 166449, 166444]","[0, 0, 0, 0]"
1751946138.9914343,"[-25, -44, -48, -31]","[22244, 6432, 25666, 31544]","[166506, 166507, 166509, 166504]","[0, 0, 0, 0]"
1751946139.0894523,"[-45, -35, -39, -47]","[20417, 4222, 23153, 29453]","[166566, 166567, 166569, 166564]","[0, 0, 0, 0]"
1751946139.1887283,"[-50, -27, -26, -50]","[17614, 2476, 21442, 26816]","[166626, 166627, 166629, 166624]","[0, 0, 0, 0]"
1751946139.2893221,"[-31, -43, -32, -35]","[14996, 538, 19715, 24413]","[166686, 166687, 166689, 166684]","[0, 0, 0, 0]"
1751946139.3877478,"[-31, -50, -53, -39]","[13032, 30990, 17233, 22415]","[166746, 166747, 166749, 166744]","[0, 0, 0, 0]"
1751946139.4885292,"[-34, -41, -49, -36]","[11358, 28671, 14604, 20413]","[166806, 166807, 166809, 166804]","[0, 0, 0, 0]"
1751946139.5887864,"[-47, -45, -26, -36]","[9074, 26340, 12460, 18367]","[166866, 166867, 166869, 166864]","[0, 0, 0, 0]"
1751946139.7085257,"[-42, -28, -28, -37]","[6627, 24249, 10515, 16134]","[166926, 166927, 166929, 166924]","[0, 0, 0, 0]"
1751946139.8088152,"[-31, -37, -54, -39]","[4344, 22180, 8485, 13760]","[166986, 166987, 166989, 166984]","[0, 0, 0, 0]"
1751946139.9284055,"[-44, -45, -44, -38]","[2405, 19926, 5980, 11625]","[167046, 167047, 167049, 167044]","[0, 0, 0, 0]"
1751946140.0284495,"[-39, -49, -37, -36]","[370, 17794, 3604, 9434]","[167106, 167107, 167109, 167104]","[0, 0, 0, 0]"
1751946140.129045,"[-14, -11, -6, -15]","[31949, 16628, 2553, 8230]","[167166, 167167, 167169, 167164]","[0, 0, 0, 0]"
1751946140.2282555,"[126, -23, -37, 18]","[450, 16453, 2065, 8405]","[167226, 167227, 167229, 167224]","[0, 0, 0, 0]"
1751946140.3287551,"[70, -68, -61, 77]","[4720, 14108, 31187, 10795]","[167286, 167287, 167289, 167284]","[0, 0, 0, 0]"
1751946140.428124,"[94, -104, -86, 104]","[9332, 9707, 26544, 15317]","[167346, 167347, 167349, 167344]","[0, 0, 0, 0]"
1751946140.52805,"[114, -135, -168, 118]","[15195, 3713, 20443, 21171]","[167406, 167407, 167409, 167404]","[0, 0, 0, 0]"
1751946140.630833,"[105, -129, -144, 140]","[22055, 29150, 13286, 28539]","[167466, 167467, 167469, 167464]","[0, 0, 0, 0]"
1751946140.729101,"[144, -142, -111, 138]","[28575, 22543, 6866, 2564]","[167526, 167527, 167529, 167524]","[0, 0, 0, 0]"
1751946140.828241,"[155, -131, -143, 157]","[2906, 15022, 32276, 9956]","[167586, 167587, 167589, 167584]","[0, 0, 0, 0]"
1751946140.9482634,"[46, -104, -65, 55]","[7961, 8638, 27151, 16095]","[167646, 167647, 167649, 167644]","[0, 0, 0, 0]"
1751946141.0488114,"[83, -100, -93, 99]","[12633, 4057, 22262, 20171]","[167706, 167707, 167709, 167704]","[0, 0, 0, 0]"
