timestamp,static_flag,up_hill,down_hill,on_slope,pick_up,slip_flag,impact_x,impact_y,impact_z,roll_over,hill_static
1751946136.7873683,0,0,0,0,0,0,0,0,0,0,0
1751946136.8890817,0,0,0,0,0,0,0,0,0,0,0
1751946136.9878364,0,0,0,0,0,0,0,0,0,0,0
1751946137.0886722,0,0,0,0,0,0,0,0,0,0,0
1751946137.1888204,0,0,0,0,0,0,0,0,0,0,0
1751946137.2887788,0,0,0,0,0,0,0,0,0,0,0
1751946137.387993,0,0,0,0,0,0,0,0,0,0,0
1751946137.4887285,0,0,0,0,0,0,0,0,0,0,0
1751946137.5888474,0,0,0,0,0,0,0,0,0,0,0
1751946137.6893165,0,0,0,0,0,0,0,0,0,0,0
1751946137.7893043,0,0,0,0,0,0,0,0,0,0,0
1751946137.8887362,0,0,0,0,0,0,0,0,0,0,0
1751946138.0083814,0,0,0,0,0,0,0,0,0,0,0
1751946138.1081083,0,0,0,0,0,0,0,0,0,0,0
1751946138.2092788,0,0,0,0,0,0,0,0,0,0,0
1751946138.3081293,0,0,0,0,0,0,0,0,0,0,0
1751946138.4080267,0,0,0,0,0,0,0,0,0,0,0
1751946138.5087054,0,0,0,0,0,0,0,0,0,0,0
1751946138.6123118,0,0,0,0,0,0,0,0,0,0,0
1751946138.7085714,0,0,0,0,0,0,0,0,0,0,0
1751946138.8087242,0,0,0,0,0,0,0,0,0,0,0
1751946138.9087462,0,0,0,0,0,0,0,0,0,0,0
1751946139.0089755,0,0,0,0,0,0,0,0,0,0,0
1751946139.107947,0,0,0,0,0,0,0,0,0,0,0
1751946139.2084823,0,0,0,0,0,0,0,0,0,0,0
1751946139.311079,0,0,0,0,0,0,0,0,0,0,0
1751946139.4087868,0,0,0,0,0,0,0,0,0,0,0
1751946139.50856,0,0,0,0,0,0,0,0,0,0,0
1751946139.6080585,0,0,0,0,0,0,0,0,0,0,0
1751946139.7085257,0,0,0,0,0,0,0,0,0,0,0
1751946139.8281758,0,0,0,0,0,0,0,0,0,0,0
1751946139.9480605,0,0,0,0,0,0,0,0,0,0,0
1751946140.0505176,0,0,0,0,0,0,0,0,0,0,0
1751946140.1480963,0,0,0,0,0,0,0,0,0,0,0
1751946140.2482257,0,0,0,0,0,0,0,0,0,0,0
1751946140.3477638,0,0,0,0,0,0,0,0,0,0,0
1751946140.4482265,0,0,0,0,0,0,0,0,0,0,0
1751946140.5486197,0,0,0,0,0,0,0,0,0,0,0
1751946140.648794,0,0,0,0,0,0,0,0,0,0,0
1751946140.748349,0,0,0,0,0,0,0,0,0,0,0
1751946140.8688986,0,0,0,0,0,0,0,0,0,0,0
1751946140.9678311,0,0,0,0,0,0,0,0,0,0,0
1751946141.0684998,0,0,0,0,0,0,0,0,0,0,0
1751946141.1716194,0,0,0,0,0,0,0,0,0,0,0
1751946141.2680876,0,0,0,0,0,0,0,0,0,0,0
1751946141.3682358,0,0,0,0,0,0,0,0,0,0,0
1751946141.4687135,0,0,0,0,0,0,0,0,0,0,0
1751946141.5881336,0,0,0,0,0,0,0,0,0,0,0
1751946141.6676714,0,0,0,0,0,0,0,0,0,0,0
1751946141.7689078,0,0,0,0,0,0,0,0,0,0,0
1751946141.869203,0,0,0,0,0,0,0,0,0,0,0
1751946141.9906085,0,0,0,0,0,0,0,0,0,0,0
1751946142.088684,0,0,0,0,0,0,0,0,0,0,0
1751946142.1894207,0,0,0,0,0,0,0,0,0,0,0
1751946142.2879806,0,0,0,0,0,0,0,0,0,0,0
1751946142.3898916,0,0,0,0,0,0,0,0,0,0,0
1751946142.5094585,0,0,0,0,0,0,0,0,0,0,0
1751946142.6092632,0,0,0,0,0,0,0,0,0,0,0
1751946142.7105806,0,0,0,0,0,0,0,0,0,0,0
1751946142.8093724,0,0,0,0,0,0,0,0,0,0,0
1751946142.9104965,0,0,0,0,0,0,0,0,0,0,0
1751946143.0104687,0,0,0,0,0,0,0,0,0,0,0
1751946143.111298,0,0,0,0,0,0,0,0,0,0,0
